顧客ID,取引先名,取引先名（かな）,取引注意フラグ,郵便番号(請求先),都道府県(請求先),住所(請求先),ビル名（請求先）,代表電話,代表Fax,代表E-mail,請求書関連備考,請求書発行方法,請求書希望,会社名(請求書発送先),郵便番号(請求書発送先),住所(請求書発送先),ビル名(請求書発送先),TEL(請求書発送先),FAX(請求書発送先),Web サイト,業種,資本金,従業員数,工事対応エリア,関連会社,備考,※企業コード
5437,日新建工株式会社　札幌営業所,にっしんけんこう,取引可,003-0849,北海道,札幌市白石区北郷2402-29,,011-871-6380,011-871-6382,,,,,,,,,,,https://nisshin-kenko.co.jp/,,,,,,,40494
5438,株式会社翔大鋼業,しょうだいこうぎょう,取引可,041-0834,北海道,函館市東山町144番79,,0138-83-2572,0138-83-2749,,,,,,,,,,,http://www.syoudai.jp/,鋼構造物・鉄筋工事,"2,000万円",,,,,40495
5439,NC工基株式会社,えぬしーこうき,取引可,108-0023,東京都,港区芝浦4-6-14,ＮＣ芝浦ビル1F,03-3452-1158,03-3452-1159,,,,,,,,,,,https://www.ncic.co.jp/kouki/index.html,,,,,,,40498
5440,鵡川漁業協同組合,むかわぎょぎょうきょうどうくみあい,取引可,054-0015,北海道,勇払郡むかわ町汐見751,,0145-42-2055,0145-42-2220,,,,,,,,,,,https://www.jf-mukawa.jp/,,,,,,,40499
5441,株式会社アール内装,あーるないそう,取引可,063-0062,北海道,札幌市西区西町南20-3-18,,011ｰ665-1938,011-665-1957,,,,,,,,,,,,,,,,,,40500
5442,株式会社浅井,あさい,取引可,143-0006,東京都,大田区平和島5-11-3,浅井第2ビル,03-5767-1561,03-5471-1575,,,,,,,,,,,https://asai-e.co.jp/,,,,,,,40502
5443,イネスホーム株式会社,いねすほーむ,取引可,001-0915,北海道,札幌市北区新琴似町795-23,,011-763-1231,011-764-3269,,,,,,,,,,,https://ineshome.jp/,,"2,600万円",,,,,40503
5444,日新インテック株式会社,にっしんいんてっく,取引可,003-0874,北海道,札幌市白石区米里4条2丁目3-20,,011-879-2211,011-879-2233,,,,,,,,,,,https://nissin-intec.co.jp,,"3,000万円",,,,,40504
5445,株式会社丸徳基業　東日本支店,まるとくきぎょう,取引可,983-0035,宮城県,仙台市宮城野区日の出町2-5-38,,022-231-8411,022-231-8418,,,,,,,,,,,https://marutokukigyou.co.jp,,,,,,,40505
5446,Kpaint株式会社,けいぺいんと,取引可,003-0843,北海道,札幌市白石区米里3条1丁目9-3,,090-1308-5116,011-875-8069,,,,,,,,,,,,その他,,,,,,40507
5447,株式会社戸田工務店　本社,とだこうむてん,取引可,069-0831,北海道,江別市野幌若葉町46-107,,011-376-0841,011-376-0941,,,メール請求書,sumidashi@toda-koumuten.com,,,,,,,https://toda-koumuten.com/,,300万円,,,,,40508
5448,株式会社順工務店,じゅんこうむてん,取引可,041-1111,北海道,亀田郡七飯町本町4丁目3-14,,0138-65-1512,0138-64-6251,,,,,,,,,,,https://junkoumuten.jp/,,"3,000万円",,,,,40511
5449,有限会社丸重清川,まるしげきよかわ,取引可,054-0363,北海道,勇払郡むかわ町穂別平丘64-11,,0145-46-6200,0145-46-6201,,,紙請求書,紙請求希望,,,,,,,https://marishigekiyokawa.amebaownd.com/pages/2844022/page_201602191746,,"2,000万円",,,,,40514
5450,環境スペース株式会社,かんきょうすぺーす,取引可,150-0013,東京都,渋谷区恵比寿3-28-12,ATYビル3階,03-5795-1215,03-5795-1216,,,,,,,,,,,https://www.kankyospace.com/,,,,,,,40516
5451,株式会社岡本工業,おかもとこうぎょう,取引可,003-0833,北海道,札幌市白石区北郷3条5丁目6-24,,011-595-7915,011-595-7916,,,,,,,,,,,,,500万円,,,,,40525
5452,IS工業株式会社,あいえすこうぎょう,取引可,061-1270,北海道,北広島市大曲448,,011-807-8250,011-807-8252,,,,,,,,,,,,,500万円,,,,,40526
5453,大東建託株式会社　札幌支店,だいとうけんたく,取引可,060-0032,北海道,札幌市中央区北2条東13丁目26-38,ミカーレ・トーゲン1階,011-261-5623,011-261-5923,,,紙請求書,紙請求希望,,,,,,,https://www.kentaku.co.jp,,,,,,,60721
5454,須藤建設株式会社　本社,すどうけんせつ,取引可,052-0012,北海道,伊達市松ヶ枝町65-8,,0142-22-0211,0142-22-0211,,,メール請求書,m-kikuchi@sudo-con.co.jp,,,,,,,https://sudo-group.com/,,500万円,,北海道・関東,,,40532
5455,大和谷工業株式会社,やまとやこうぎょう,取引可,099-1587,北海道,北見市豊地12番地14,,0157-36-5666,0157-36-8601,,,,,,,,,,,https://www.yamatoya-kk.jp/,,"1,000万円",,,,,40534
5456,株式会社シンワ,しんわ,取引可,123-0872,東京都,足立区江北3丁目29-9,,03-3856-8011,03-3856-8013,,,メール請求書,soumu@co-shinwa.jp,,,,,,,,,"1,000万円",,,,,40536
5457,株式会社エコ・フード,えこ・ふーど,取引可,289-3186,千葉県,匝瑳市川辺208-1,,0479-67-1025,0479-67-1026,,,,,,,,,,,https://ecofood.co.jp/,,,,,,,40541
5458,株式会社三五工務店,さんごこうむてん,取引可,001-0034,北海道,札幌市北区北34条西10丁目6-21,,011-726-3535,011-736-9835,,,メール請求書,hisano@kk35.jp,,,,,,,https://www.kk35.jp/,,"3,500万円",,,,,40542
5459,株式会社土屋ホーム　特建事業部,つちやほーむ,取引可,060-0809,北海道,札幌市北区北9条西3丁目7番地,土屋ホーム札幌北九条ビル,011-717-3380,011-717-3381,,,,,,,,,,,https://www.tsuchiyahome.jp/,,,,,,,40543
5460,株式会社佐藤地質,さとうちしつ,取引可,002-8022,北海道,札幌市北区篠路2条6丁目5-13-605,,090-5950-4916,,,,,,,,,,,,,,,,,,,40544
5461,丸栄山下建設株式会社,まるえいやましたけんせつ,取引可,003-0013,北海道,札幌市白石区中央3条1丁目1-2,,011-823-1288,011-821-0048,,,,sakurae@maruei-y.jp,,,,,,,https://www.maruei-yamashita.jp/,,"2,950万円",,,,,40545
5462,株式会社ワイビーエムサービス　八丁原事務所,わいびーえむさーびす,取引可,879-4911,大分県,玖珠郡九重町大字田野字後原204-35,,0973-73-3843,0973-73-3844,,,,,,,,,,,https://www.ybms.jp/ybmscodata.htm,,,,,,,40547
5463,南工業株式会社,みなみこうぎょう,取引可,059-1361,北海道,苫小牧市字美沢102,,0144-51-8228,0144-51-8228,,,メール請求書,k-minami@rainbow.plala.or.jp,,,,,,,,,300万円,,,,,40560
5464,親栄電気工事株式会社　通信事業部,しんえいでんきこうじ,取引可,001-0912,北海道,札幌市北区新琴似12条9丁目2番18号,,011-764-6700,011-764-8100,,,紙請求書,紙請求希望,,,,,,,https://www.shin-ei-denki.co.jp/,電気・通信工事,"2,000万円",,,,,40562
5465,日本小型船舶検査機構　函館支部,にほんこがたせんぱくけんさきこう,取引可,040-0052,北海道,函館市大町,9－20 カクタスビル2階,0138-26-3583,0138-26-1123,,,,,,,,,,,https://jci.go.jp/,,,,,,,40567
5466,小樽プラント株式会社,おたるぷらんと,取引可,047-0048?,北海道,小樽市高島1丁目2番6号,,0134-64-7311,0134-64-7312,,,メール請求書,otaru-plant@cd.wakwak.com,,,,,,,https://otaru-plant.com/,,,,,,,40568
5467,株式会社春香,しゅんこう,取引可,059-1275,北海道,苫小牧市字錦岡491-103,,0144-82-7910,0144-82-7911,,,,,,,,,,,,,500万円,,,,,40598
5468,有限会社巧智建設,こうちけんせつ,取引可,040-0012,北海道,函館市時任町30-33,,0138-53-7121,0138-53-3394,,,,,,,,,,,,,300万円,,,,,40600
5469,株式会社サイネックス　札幌支店,さいねっくす,取引可,001-0010,北海道,札幌市北区北10条西1丁目10-1,MCビル2F,011-737-7167,011-737-7169,,,,,,,,,,,https://www.scinex.co.jp/,その他,,,,,,40602
5470,株式会社電材重機　札幌本社,でんざいじゅうき,取引可,007-0033,北海道,札幌市東区東雁来13条4丁目4,,011-790-5174,011-790-5175,,,紙請求書,紙請求希望,,,,,,,https://www.denzai-j.com,,1億円,,,,室蘭市で洋上風力建設,40617
5471,株式会社三共建設,さんきょうけんせつ,取引可,162-0832,東京都,新宿区岩戸町17番地,文英堂ビル8階,03-6435-0751,03-6435-0793,,,,,,,,,,,https://sankyokensetu.com,,"2,400万円",,,,,40620
5472,郡リース株式会社　札幌支店,こおりりーす,取引可,004-0051,北海道,札幌市厚別区厚別中央1条6丁目3番1号　ホクノー新さっぽろビル5階,,011-805-3541,011-897-3561,,,,,,,,,,,https://www.kohri.co.jp/,鋼構造物・鉄筋工事,,,,,,40622
5473,【取引注意】株式会社輝Group,かがやきぐるーぷ,取引禁止,541-0053,大阪府,大阪市中央区本町4丁目4-17,RE-012ビル705号,06-6777-8257,050-3457-7025,,,,,,,,,,,,その他,,,,,支払い遅延（再三の督促により2023年の宿泊費を2024年の後半に支払う）,40632
5474,三幸ケミカル株式会社,さんこうけみかる,取引可,001-0924,北海道,札幌市北区新川4条17丁目6番13号,,011-765-0035,011-765-0040,,,メール請求書,sakuraba@sck-h.co.jp,,,,,,,http://www.sck-h.co.jp/,,"3,000万円",,,,,40633
5475,エイトシステム,えいとしすてむ,取引可,001-0933,北海道,札幌市北区新川西3条4丁目4-10,,080-6082-6381,,,,,,,,,,,,,その他,,,,,,40637
5476,株式会社ジー・ガイヤ,じーがいや,取引可,004-0802,北海道,札幌市清田区里塚2条6丁目1-3,里塚ノースヴィレッジ,011-888-5888,011-888-5889,,,メール請求書,kikuchi@g-gaia.co.jp,,,,,,,https://www.g-gaia.jp/,,"2,490万円",,,,,40645
5477,有限会社ファインテクノ　札幌営業所,ふぁいんてくの,取引可,001-0031,北海道,札幌市北区北三十一条西11丁目1-1,,011-788-9159,011-788-9341,,,,,,,,,,,,,"1,000万円",,,,,40660
5478,合同会社KANEMURA,かねむら,取引可,060-0042,北海道,札幌市中央区大通西13丁目4,中菱ビル 4階,011-590-8303,011-590-8304,kanemura3510@gmail.com,,,,,,,,,,https://kankisen777.com/profile/,,,,,,,40673
5479,株式会社横河システム建築　千葉工場　工事第一課,よこがわしすてむこうちく,取引可,299-0268,千葉県,袖ケ浦市南袖11番,,0438-62-6434,0436-37-2811,,,,,,,,,,,https://www.yokogawa-yess.co.jp/,鋼構造物・鉄筋工事,,,,,,40684
5480,株式会社美光インテリア,びこういんてりあ,取引可,040-0081,北海道,函館市田家町8-26,,0138-42-3830,0138-42-3899,,,,,,,,,,,https://www.blind.co.jp/dealer/details/49,,"1,000万円",,,,,40698
5481,株式会社グリーンハウザー　札幌支店,ぐりーんはうざー,取引可,006-0832,北海道,札幌市手稲区曙2条4丁目1-70,,011-686-3882,011-686-3889,,,,,,,,,,,https://www.greenhouser.co.jp,,,,,,,40703
5482,大建産業株式会社,だいけんさんぎょう,取引可,060-0062,北海道,札幌市中央区南2条西6丁目17-1,南二条ヒナタビル,011-222-6600,011-222-6699,,,,,,,,,,,,,"3,000万円",,,,,20121
5483,清水建設株式会社　北海道支店,しみずけんせつ,取引可,060-0001,北海道,札幌市中央区北1条西2丁目1番地,札幌時計台ビル13階,011-214-3511,,,,メール請求書,y-noguchi@shimz.co.jp,,,,,,,https://www.shimz.co.jp,,,,,,,40530
5484,サッポロ技建株式会社,さっぽろぎけん,取引可,003-0869,北海道,札幌市白石区川下589番地265,,011-871-2650,011-871-2637,soumu1@sapporo-giken.com,,メール請求書,soumu1@sapporo-giken.com,,,,,,,https://giken-group.jp/sapporogiken/,,"1,500万円",,,,,40732
5485,綜実工業株式会社,そうじつこうぎょう,取引可,073-0043,北海道,滝川市幸町3丁目4番38号,,0125-23-3669,0125-23-3645,,,メール請求書,soujitu@viola.ocn.ne.jp,,,,,,,https://www.soujitu.co.jp/,,"3,500万円",,,,,40819
5486,株式会社高橋重機興業,たかはしじゅうきこうぎょう,取引可,002-8010,北海道,札幌市北区太平10条7丁目2番3号,,011-772-8843,011-772-9990,,,,,,,,,,,https://www.takahashi-jk.com/,,"1,000万円",,,,,40900
5487,株式会社SkyDrive,すかいどらいぶ,取引可,444-2601,愛知県,豊田市足助,,,,,,,,,,,,,,https://skydrive2020.com,,,,,,,41068
5488,清水大理石工業株式会社,しみずだいりせきこうぎょう,取引可,071-1513,北海道,上川郡東神楽町北2条西3丁目1-10,,0166-83-4343,0166-83-2205,,,,,,,,,,,https://www.marble-shimizu.com/,,,,旭川市、旭川周辺7町,,,41130
5489,合同会社後藤設備,ごとうせつび,取引可,004-0011,北海道,札幌市厚別区もみじ台東2-1-12,,011-897-5533,011-375-8668,,,メール請求書,gotousetsubi@blue.plala.or.jp,,,,,,,,管工事（空調設備、給排水設備等）,,,,,,41301
5490,株式会社地圏総合コンサルタント　札幌支店,ちけんそうごうこんさるたんと,取引可,064-0823,北海道,札幌市中央区北3条西26丁目1番20号,,011-615-1520,011-615-1527,,,,,,,,,,,http://www.chiso-con.co.jp/,,,,,,,41374
5491,株式会社pult,ぷると,取引可,060-0062,北海道,札幌市中央区南二条西7丁目1番5,2・7ビル2階,080-1155-3413,,,,,,,,,,,,https://pult-inc.com/,,,,,,,41444
5492,ファームエイジ株式会社,ふぁーむえいじ,取引可,061-0212,北海道,石狩郡当別町字金沢166番地8,,0133-22-3081,0133-22-3013,,,,,,,,,,,https://farmage.co.jp/,,,,,,,41464
5493,株式会社タイムリー,たいむりー,取引可,065-0000,北海道,札幌市東区中沼西1-1-9-6,,011-788-9081,011-788-9082,,,,,,,,,,,,その他,,,,,,41486
5494,株式会社夢真　札幌営業所,ゆめしん,取引可,060-0001,北海道,札幌市中央区北1条西2-9,オーク札幌ビルディング6F,011-221-0252,011-221-3886,,,,,,,,,,,https://www.yumeshin.co.jp/,,,,,,,41526
5495,コマツカスタマーサポート株式会社　札幌北支店　ニセコ営業所,こまつかすたまーさぽーと,取引可,044-0066,北海道,虻田郡倶知安町琴平143-3,,050-3486-7022,0136-22-5505,,,,,,,,,,,https://kcsj.komatsu/,,,,,株式会社小松製作所の完全子会社,,41572
5496,株式会社佐藤製線所,さとうせいせんじょ,取引可,989-2351,宮城県,亘理郡亘理町字江下111,,0223-34-3211,0223-34-3143,,,,,,,,,,,https://www.satoseisen.co.jp/,,,,,,,50517
5497,曙鉄工株式会社,あけぼのてっこう,取引可,006-0841,北海道,札幌市手稲区曙11条2丁目3-72,,011-682-3688,011-682-8780,,,,,,,,,,,http://aketetsu.com/,,"1,500万円",,,,,50520
5498,株式会社陽光電設,ようこうでんせつ,取引可,003-0874,北海道,札幌市白石区米里4条1丁目6-10,,090-5078-1635,050-3737-3938,,,メール請求書,sapporo_yonesato@yokodensetsu.co.jp,,,,,,,,電気・通信工事,300万円,,,,,50539
5499,須藤運輸機工株式会社,すどううんゆきこう,取引可,047-0216,北海道,小樽市銭函3丁目524-3,,0134-61-6001,0134-61-6004,,,,,,,,,,,http://www.sudo-unyu.jp/,,"3,300万円",,,,,50559
5500,新太平洋建設株式会社　本社,しんたいへいようけんせつ,取引可,060-0051,北海道,札幌市中央区南１条東１丁目 - ２ - １,太平洋興発ビル5階,011-200-6280,011-200-6005,,,,,,,,,,,https://shintaiheiyoh.com/,,"9,000万円",95,,,,900414
5501,ナラサキスタックス株式会社　室蘭支店,ならさきすたっくす,取引可,051-0031,北海道,室蘭市築地町147-8,,0143-24-3101,0143-22-8501,,,,,,,,,,,https://www.narasaki-stax.co.jp,,"4億2,104万円",,,,,50581
5502,株式会社北雄ファーネス,ほくゆうふぁーねす,取引可,003-0831,北海道,札幌市白石区北郷1条1丁目7-1,,011-871-8022,011-871-8015,,,メール請求書,info@hokuyu-farnace.com,,,,,,,,,"1,000万円",,,,,50591
5503,株式会社ナカボーテック　北海道営業所,なかぼーてっく,取引可,060-0807,北海道,札幌市北区北7条西4丁目1-2,KDX札幌ビル,011-726-5880,011-726-5850,,,メール請求書,ryuseijoney@yahoo.co.jp,,,,,,,https://www.nakabohtec.co.jp/,,,,,,,50601
5504,株式会社不動テトラ　東北支店,ふどうてとら,取引可,980-0803,宮城県,仙台市青葉区国分町1丁目6番9号,マニュライフプレイス仙台5階,022-262-3411,022-262-3416,,,,,,,,,,,https://www.fudotetra.co.jp/,,,,,,,50607
5505,株式会社石井鉄工,いしいてっこう,取引可,071-1426,北海道,上川郡東川町北町7-2-2,,0166-82-2321,0166-82-4545,,,,,,,,,,,https://www.ishii-tekko.co.jp/,,"1,000万円",,北海道内・全国各地,,,50626
5506,株式会社濱谷建設　本社,はまやけんせつ,取引可,085-0845,北海道,釧路市港町3番6号,,0154-42-5380,0154-41-1270,,,,,,,,,,,https://kk-hamaya.co.jp/,,500万円,,,,,50702
5507,株式会社ソイル・ONE　札幌営業所,そいるわん,取引可,063-0832,北海道,札幌市西区発寒12条13丁目2-1,,011-624-6659,011-624-6686,,,,,,,,,,,,,,,,,,50708
5508,新栄クリエイト株式会社,しんえいくりえいと,取引可,060-0013,北海道,札幌市中央区北13条西15丁目5-12,,011-738-3335,011-738-3335,,,,,,,,,,,https://www.shin-ei-k.co.jp/,電気・通信工事,"9,500万円",88,,,,141595
5509,株式会社ハートフルホーム,はーとふるほーむ,取引可,004-0861,北海道,札幌市清田区北野1条2丁目6-2,,011-376-0186,011-376-0187,,,メール請求書,hfh.ohta@gmail.com,,,,,,,https://www.heartfulhome.info/,,300万円,,,,,50810
5510,有限会社まつむら設備工業,まつむらせつびこうぎょう,取引可,041-1135,北海道,亀田郡七飯町緑町2丁目13-8,,0138-85-8819,0138-85-8879,,,,,,,,,,,,,,,,,,50811
5511,函館どつく株式会社　室蘭製作所,はこだてどつく,取引可,051-0036,北海道,室蘭市祝津町1丁目128,,0143-27-1251,0143-27-4533,,,,,,,,,,,https://www.hakodate-dock.co.jp,,"47億4,600万円",,,,,50853
5512,エア・ウォーター北海道・産業ガス株式会社　道北支店　選別機メンテナンスグループ,えあうぉーたーほっかいどうさんぎょうがす,取引可,078-8275,北海道,旭川市工業団地5条3丁目5番17号,,0166--36-8353,0166-36-8352,,,,,,,,,,,https://awts.co.jp/,,"2,000万円",,,,旧社名：エア・ウォーター・テクノソリューションズ株式会社,51115
5513,ソーワエンジニアリング株式会社　苫小牧事業所,そーわえんじにありんぐ,取引可,059-1364,北海道,苫小牧市沼ノ端18-96,,0144-57-7640,0144-57-7641,,,メール請求書,ishiduka@sowa-eng.jp,,,,,,,http://sowa-eng.jp/,,,,,,,51231
5514,有限会社三協営繕工業,さんきょうえいぜんこうぎょう,取引可,071-8135,北海道,旭川市末広5条10-2-13,,0166-57-4269,0166-57-4269,,,,,,,,,,,,,,,,,,51422
5515,株式会社日本ハウスホールディングス　室蘭営業所,にほんはうすほーるでぃんぐす,取引可,050-0072,北海道,室蘭市高砂町1丁目11-36,,0143-47-5551,0143-47-5566,,,,,,,,,,,https://www.nihonhouse-hd.co.jp/,,,,,,,51488
5516,北海道ロードメンテナンス株式会社　北見事業所,ほっかいどうろーどめんてなんす,取引可,099-0878,北海道,北見市東相内町110番地17,,0157-36-9811,0157-36-9812,,,,,,,,,,,https://www.h-rm.co.jp/,,,,,,,51587
5517,有限会社なかおアシスト,なかおあしすと,取引可,007-0836,北海道,札幌市東区北36条東22丁目3-15,,011-783-0967,011-783-5251,,,,,,,,,,,https://nakao-assist.co.jp/,,,,,,,51604
5518,N’ｓ,えぬず,取引可,351-0005,埼玉県,朝霞市根岸台3-8-29,,048-467-2056,048-467-2056,,,,,,,,,,,,その他,,,,,,51664
5519,東日本損害調査北海道株式会社,ひがしにほんそんがいちょうさほっかいどう,取引可,070-8005,北海道,旭川市神楽5条8丁目1-7,,0166-74-8140,0166-74-8890,info_research@hnsch.co.jp,,メール請求書,info_research@hnsch.co.jp,,,,,,,https://hnsch.co.jp/,その他,,,,,,60540
5520,北斗技工,ほくとぎこう,取引可,041-0821,北海道,函館市港町3丁目16-15,,090-4000-3982,,,,,,,,,,,,,その他,,,,,,60551
5521,株式会社地域環境計画　北海道支社,ちいきかんきょうけいかく,取引可,001-0017,北海道,札幌市北区北17条西1丁目1-3,末永ビル,011-717-8001,011-717-8021,,,,,,,,,,,https://www.chiikan.co.jp/,,,,,,,60569
5522,合同会社K-tech,けーてっく,取引可,061-3258,北海道,石狩市樽川8条1丁目170番地,,0133-62-8947,,,,,,,,,,,,,,,,,,,60570
5523,株式会社酒井機材製作所,さかいきざいせいさくじょ,取引可,061-3241,北海道,石狩市新港西3丁目749-11,,0133-73-8141,0133-73-8140,,,,,,,,,,,https://sakaikizai.com,,,,,,,60582
5524,ムトウHTS株式会社,むとうえいちてぃーえす,取引可,080-1408,北海道,河東郡上士幌町字上士幌東3線242番地85,,090-9520-9798,01564-2-2306,,,,紙請求希望,,,,,,,,,,,,,,60609
5525,株式会社ヤマコウ工業,やまこうこうぎょう,取引可,061-1121,北海道,北広島市中央2丁目1番地2,,011-376-8777,011-376-8778,,,,,,,,,,,https://yamakou-k.com/,,"9,500万円",,北海道、徳島、宮崎,,,60627
5526,日本製鋼所M&E株式会社,にほんせいこうしょ,取引可,051-8505,北海道,室蘭市茶津町4番地,,0143-22-8386,0143-24-7841,,,,,,,,,,,https://www.jsw-me.com/,,,,,,,60628
5527,株式会社ユニオン,ゆにおん,取引可,811-2321,福岡県,糟屋郡粕屋町内橋西2丁目14-10,,092-410-8380,092-410-8381,,,,,,,,,,,https://union-30.com,電気・通信工事,"4,800万円",,,,,60634
5528,株式会社エクワインレーシング,えくわいんれーしんぐ,取引可,054-0014,北海道,勇払郡むかわ町米原479番地2,,0145-42-5522,0145-42-5523,,,,,,,,,,,https://equineracing.jp/,,,,,,,60638
5529,株式会社ケーエスケー,けーえすけー,取引可,003-0833,北海道,札幌市白石区北郷3条12丁目1-38,,011-378-4418,011-378-4428,,,メール請求書,kobayashi@keieskei.jp,,,,,,,,,600万円,,,,,60641
5531,ハクヨーテクノ株式会社,はくよーてくの,取引可,069-0213,北海道,空知郡南幌町南13線西10番地,,080-6089-8421,,,,,,,,,,,,,その他,,,,,,60656
5532,株式会社富士コンストラクション,ふじこんすとらくしょん,取引可,290-0043,千葉県,市原市出津西1丁目2-10,,0436-22-0876,0436-22-4341,,,,,,,,,,,https://fuji-csr.co.jp/,,,,,,,60664
5533,水沢エース株式会社,みずさわえーす,取引可,090-0056,北海道,北見市卸町2丁目3番地2,,0157-36-2151,0157-36-2156,,,,,,,,,,,https://mizusawa-ace.jp/,,"3,000万円",,,,,60667
5534,天野工業株式会社,あまのこうぎょう,取引可,007-0807,北海道,札幌市東区東苗穂7条3丁目4番7号,,011-781-1948,011-781-1984,,,,,,,,,,,https://amano-industry.com/,,"1,000万円",,日立建機㈱　、日立建機日本㈱　、Movax Japan㈱,,,60671
5535,SJ企画,えすじぇいきかく,取引可,455-0077,愛知県,名古屋市港区小割通1-6,LM武道館前104号,,,,,,,,,,,,,,その他,,,,,,60691
5536,共同エンジニアリング　コンストラクション事業部　北陸営業所,きょうどうえんじにありんぐ,取引可,920-0031,石川県,金沢市広岡三丁目3番11号,JR金沢駅西第四NKビル5階,076-204-6391,076-223-2880,,,,,,,,,,,https://www.kyodo-engine.com/,,,,,,,60697
5537,株式会社札幌工業検査,さっぽろこうぎょうけんさ,取引可,003-0872,北海道,札幌市白石区米里2条2丁目3-21,,011-876-6366,011-875-6233,,,,,,,,,,,https://sakoken.co.jp/,,,,,,,60704
5538,鵡川農業協同組合（JAむかわ）　本部,むかわのうぎょうきょうどうくみあい（じぇーえーむかわ）,取引可,054-0051,北海道,勇払郡むかわ町文京2丁目2-1,,0145-42-2611,0145-42-3754,,,,,,,,,,,http://ja-mukawa.or.jp/,,,,,,,60719
5539,タマホーム株式会社　苫小牧営業所,たまほーむとまこまい,取引可,059-1304,北海道,苫小牧市北栄町5丁目6-2,,0144-53-3800,0144-53-3808,,,,,,,,,,,https://www.tamahome.jp,,,,,,,60720
5540,三井住建道路株式会社　北海道支店,みついじゅうけんどうろ,取引可,064-8512,北海道,札幌市中央区南1条西25-1-1,,011-642-0881,011-644-1413,,,,,,,,,,,https://www.smrc.co.jp/,,,,,,,取引無し
5541,カワテックス株式会社　本社,かわてっくす,取引可,073-0101,北海道,砂川市空知太東1条3丁目2番10号,,0125-56-2220,0125-56-2232,,,紙請求書,紙請求希望,,,,,,,https://kawatex.co.jp/,,1億円,,,,,60871
5542,世紀東急工業株式会社　道南営業所,せいきとうきゅうこうぎょう,取引可,054-0064,北海道,勇払郡むかわ町晴海 - ８０,,0145-42-2755,0145-47-2001,,,メール請求書,hitomi.honda@seikitokyu.co.jp,,,,,,,https://www.seikitokyu.co.jp/,,,,,東急グループ,,60972
5543,會澤高圧コンクリート株式会社　鵡川工場,あいざわこうあつこんくりーと,取引可,054-0064,北海道,勇払郡むかわ町晴海67,,0145-42-2196,0145-42-4200,,,,,,,,,,,https://www.aizawa-group.co.jp/,,,,,,コンクリート3Dプリンタで住宅からグランピング施設まで建設。,61219
5544,株式会社凌霄,りょうしょう,取引可,003-0012,北海道,札幌市白石区中央2条3丁目6番24号,,011-826-3732,011-826-3742,,,,,,,,,,,,,,,道内全域,,,61229
5545,株式会社跳梁,ちょうりょう,取引可,088-0614,北海道,釧路郡釧路町国誉4丁目25,,0154-38-3946,0154-65-8600,,,,,,,,,,,https://choryo.net,,,,,,,61329
5546,有限会社仁興業,じんこうぎょう,取引可,050-0074,北海道,室蘭市中島町4丁目17-23,,0143-45-8960,,,,,,,,,,,,,鋼構造物・鉄筋工事,,,,,,61330
5547,日本シーレーク株式会社　中部支店,にほんしーれーく,取引可,470-2214,愛知県,知多郡阿久比町椋岡南畑1-1,,0569-47-0409,0569-47-0408,,,,,,,,,,,https://www.sealake.co.jp,,,,,,,61410
5548,株式会社タカフジ興産,たかふじこうさん,取引可,003-0871,北海道,札幌市白石区米里1条3丁目6-8,,011-871-0660,011-871-1090,taka-ken@takafujinet.jp,,,,,,,,,,http://www.takafujinet.jp/takafuji_kousan,,,,,,,61415
5549,エネサーブ株式会社　北関東事業所,えねさーぶ,取引可,338-0831,埼玉県,さいたま市桜区南元宿2丁目9番23号,エネサーブ埼玉事業所,048-853-0711,048-853-0701,,,,,,,,,,,https://www.eneserve.co.jp,電気・通信工事,,,,大和ハウス工業の連結子会社,,61448
5550,ヒガシモトキカイ株式会社,ひがしもときかい,取引可,630-2223,奈良県,山辺郡山添村三ヶ谷1149,,0743-87-0231,0743-87-0231,,,,,,,,,,,https://www.higashimoto.co.jp/,,,,,,,61463
5551,音更トラクター工業株式会社,おとふけとらくたーこうぎょう,取引可,080-0341,北海道,河東郡音更町音更西1線44-25,,0155-42-3824,0155-42-4250,,,,,,,,,,,https://otohuke-tractor.com/,,,,,,,61471
5552,有限会社ティ・エス・ソフト,てぃえすそふと,取引可,712-8006,岡山県,倉敷市連島町鶴新田2059-1,,086-444-7098,086-444-5062,,,,,,,,,,,https://ts-soft.jp/,,,,,,,61657
5553,防衛省・自衛隊帯広地方協力本部　募集課,おびひろちほうきょうりょくほんぶ,取引可,080-0024,北海道,帯広市西14条南14丁目4,,0155-23-5882,0155-23-5882,,,,,,,,,,,https://www.mod.go.jp/pco/obihiro/,その他,,,,,,70529
5554,エステーPRO株式会社,えすてーぴーあーるおー,取引可,161-0033,東京都,新宿区下落合1-4-10,,03-3367-2083,03-3367-2084,,,,,,,,,,,https://stp.st-c.co.jp/,その他,,,,エステー株式会社,,70546
5555,北海道日紅株式会社　美幌営業部,ほっかいどうにっこう,取引可,092-0027,北海道,網走郡美幌町稲美225-14,,0152-72-2977,0152-72-2988,,,,,,,,,,,https://www.hokkaido-nikko.co.jp/,,,,,,,70552
5556,太陽肥料株式会社,たいようひりょう,取引可,314-0255,茨城県,神栖市砂山4番地,,0479-46-3111,0479-46-3116,,,,,,,,,,,https://www.taiyohiryo.co.jp/,,,,,,,70557
